Site	Hole	Core	Type	Section	Section_Depth	Sample_Depth	Age	d13C_C26FA 	d13C_C28FA 	d13C_C30FA 	d13C_C32FAC32	Mean_d13C_C26-C32FA 	Est_CO2_linear	Est_CO2_exponential 	
U1446	C	7	H	3	113	63.827	313.72	-25.38	-26.14	-27.70	-27.67	-26.72	246.06	243.95	
U1446	C	7	H	3	139	64.087	315.51	-24.61	-25.57	-27.10	-24.79	-25.52	233.69	231.08	
U1446	C	7	H	4	32	64.437	317.93	-25.47	-26.50	-27.99	-26.91	-26.72	246.01	243.90	
U1446	C	7	H	4	32	64.437	317.93	-25.39	-26.56	-28.06	-27.37	-26.84	247.28	245.26	
U1446	C	7	H	4	62	64.737	320.00	-25.44	-26.55	-27.70	-28.33	-27.00	248.95	247.06	
U1446	C	7	H	4	92	65.037	322.07	-24.56	-27.42	-27.36	-25.92	-26.32	241.87	239.51	
U1446	C	7	H	4	122	65.337	324.14	-25.97	-28.34	-28.45	-29.33	-28.02	259.40	258.62	
U1446	C	7	H	5	10	65.627	326.14	-26.84	-29.18	-29.49	-29.99	-28.88	268.18	268.75	
U1446	C	7	H	5	44	65.967	328.48	-27.26	-29.36	-29.86	-30.04	-29.13	270.81	271.87	
U1446	C	7	H	5	100	66.527	332.35	-27.76	-28.20	-28.42	-28.35	-28.18	261.05	260.49	
U1446	C	7	H	5	130	66.827	334.42	-25.26	-24.72	-25.62	-23.96	-24.89	227.19	224.60	
U1446	C	7	H	6	18	67.127	336.49	-24.24	-23.89	-24.82	-24.11	-24.27	220.80	218.41	
U1446	C	7	H	6	78	67.727	340.79	-21.96	-21.75	-22.97	-22.78	-22.37	201.27	200.51	
U1446	C	7	H	6	108	68.027	342.97	-23.23	-22.90	-22.62	-23.48	-23.06	208.38	206.85	
U1446	C	7	H	6	138	68.327	345.15	-22.20	-21.78	-21.94	-21.58	-21.87	196.21	196.12	
U1446	A	8	H	3	24	68.619	347.26	-23.05	-22.36	-22.75	-21.43	-22.39	201.56	200.77	
U1446	A	8	H	3	54	68.919	349.44	-22.21	-21.43	-21.88	-20.40	-21.48	192.15	192.66	
U1446	A	8	H	3	84	69.219	351.62	-21.61	-20.86	-21.07	-20.14	-20.92	186.39	187.86	
U1446	A	8	H	4	5	69.529	353.87	-21.99	-21.51	-21.83	-20.73	-21.52	192.54	192.99	
U1446	A	8	H	4	35	69.829	356.05	-22.07	-21.70	-21.83	-21.36	-21.74	194.84	194.94	
U1446	A	8	H	4	69	70.169	358.52	-22.21	-21.87	-22.20	-21.52	-21.95	196.99	196.79	
U1446	A	8	H	4	95	70.429	360.41	-23.29	-23.29	-24.10	-23.49	-23.54	213.37	211.42	
U1446	A	8	H	4	124	70.719	362.52	-23.48	-23.36	-23.93	-23.45	-23.55	213.49	211.53	
U1446	A	8	H	5	27	71.029	364.77	-23.94	-23.75	-23.88	-23.88	-23.86	216.64	214.47	
U1446	A	8	H	5	57	71.329	366.95	-24.03	-24.02	-23.96	-23.98	-23.99	218.01	215.76	
U1446	A	8	H	5	87	71.629	369.13	-24.22	-24.37	-24.24	-24.72	-24.39	222.03	219.59	
U1446	A	8	H	5	117	71.929	371.31	-24.21	-24.34	-24.65	-24.66	-24.47	222.85	220.38	
U1446	A	8	H	5	145	72.209	373.35	-24.13	-24.38	-25.23	-24.99	-24.68	225.08	222.54	
U1446	A	8	H	6	29	72.529	375.67	-24.41	-24.62	-25.07	-25.53	-24.91	227.40	224.81	
U1446	A	8	H	6	57	72.809	377.71	-24.53	-25.09	-25.35	-25.77	-25.18	230.23	227.61	
U1446	A	8	H	6	89	73.129	380.03	-24.87	-25.75	-26.05	-26.96	-25.91	237.67	235.15	
U1446	A	8	H	6	119	73.429	382.21	-24.54	-24.87	-25.60	-25.67	-25.17	230.08	227.47	
