Event	DateTime	Latitude	Longitude	Sample label	Depthsed	Depthcomp	Depthcompr	Depthcorrcr	HybridAge	AgeLisiec	AgeAhn	AgeKonijn	d18O	d13C
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,18-19	83.090	86.910	86.910	86.910	738.94	740.42	740.42	738.88	1.16	-1.27
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,20-21	83.110	86.930	86.930	86.930	739.15	740.59	740.59	739.09	1.15	-1.16
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,22-23	83.130	86.950	86.950	86.950	739.35	740.75	740.75	739.29	0.96	-1.47
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,24-25	83.150	86.970	86.970	86.970	739.56	740.90	740.90	739.50	1.16	-1.49
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,26-27	83.170	86.990	86.990	86.990	739.77	741.05	741.05	739.71	1.19	-1.29
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,28-29	83.190	87.010	87.010	87.010	739.98	741.20	741.20	739.91	1.23	-1.17
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,30-31	83.210	87.030	87.030	87.030	740.19	741.35	741.35	740.12	1.57	-1.24
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,32-33	83.230	87.050	87.050	87.050	740.39	741.50	741.50	740.32	1.25	-1.20
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,34-35	83.250	87.070	87.070	87.070	740.60	741.66	741.66	740.53	1.95	-1.18
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,36-37	83.270	87.090	87.090	87.090	740.81	741.81	741.81	740.74	2.29	-1.05
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,38-39	83.290	87.110	87.110	87.110	741.02	741.96	741.96	740.94	2.37	-1.11
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,40-41	83.310	87.130	87.130	87.130	741.23	742.11	742.11	741.15	2.14	-1.37
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,42-43	83.330	87.150	87.150	87.150	741.44	742.26	742.26	741.36	2.46	-1.44
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,44-45	83.350	87.170	87.170	87.170	741.64	742.41	742.41	741.56	2.37	-1.33
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,46-47	83.370	87.190	87.190	87.190	741.85	742.57	742.57	741.77	2.61	-0.84
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,48-49	83.390	87.210	87.210	87.210	742.06	742.72	742.72	741.98	2.58	-1.13
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,50-51	83.410	87.230	87.230	87.230	742.27	742.87	742.87	742.18	2.65	-0.85
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,52-53	83.430	87.250	87.250	87.250	742.48	743.02	743.02	742.39	2.37	-1.03
