/* DATA DESCRIPTION:
Citation:	Ruddiman, William F; Raymo, Maureen E; Martinson, Douglas G; Clement, Bradford M; Backman, Jan (1989): (Table A2) Sea surface temperature reconstruction of DSDP Site 94-607 in the North Atlantic [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.52373, 
	In supplement to: Ruddiman, WF et al. (1989): Pleistocene evolution: northern hemisphere ice sheets and North Atlantic Ocean. Paleoceanography, 4(4), 353-412, https://doi.org/10.1029/PA004i004p00353
Project(s):	Deep Sea Drilling Project (DSDP) (URI: http://www.deepseadrilling.org/)
Coverage:	LATITUDE: 41.001200 * LONGITUDE: -32.957300
	DATE/TIME START: 1983-07-06T00:00:00 * DATE/TIME END: 1983-07-06T00:00:00
	MINIMUM DEPTH, sediment/rock: 9.32 m * MAXIMUM DEPTH, sediment/rock: 73.22 m
Event(s):	94-607_Site * LATITUDE: 41.001200 * LONGITUDE: -32.957300 * DATE/TIME: 1983-07-06T00:00:00 * ELEVATION: -3427.0 m * Penetration: 5.957 m * Recovery: 4.537 m * LOCATION: North Atlantic/FLANK * CAMPAIGN: Leg94 (URI: https://doi.org/10.2973/dsdp.proc.94.1987) * BASIS: Glomar Challenger (URI: http://www-odp.tamu.edu/glomar.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 56 cores; 511 m cored; 0 m drilled; 88.8% recovery
Comment:	Age based on TP607 time scale. Depth is composite depth (mcd)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Ruddiman, William F
	AGE [ka BP] (Age) * GEOCODE * PI: Ruddiman, William F
	Sample code/label (Sample label) * PI: Ruddiman, William F * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Globigerinoides ruber white [%] (G. ruber w) * PI: Ruddiman, William F
	Globigerina bulloides [%] (G. bulloides) * PI: Ruddiman, William F
	Neogloboquadrina pachyderma sinistral [%] (N. pachyderma s) * PI: Ruddiman, William F
	Globorotalia inflata [%] (G. inflata) * PI: Ruddiman, William F
	Sea surface temperature, summer [°C] (SST sum) * PI: Ruddiman, William F * METHOD/DEVICE: Transfer function AOF13X5, Ruddiman & Esmay, 1986 (URI: https://doi.org/10.2973/dsdp.proc.94.135.1987)
	Sea surface temperature, winter [°C] (SST win) * PI: Ruddiman, William F * METHOD/DEVICE: Transfer function AOF13X5, Ruddiman & Esmay, 1986 (URI: https://doi.org/10.2973/dsdp.proc.94.135.1987)
Change history:	2021-07-07T11:07:20 - Depth [m] corrected for sample 94-607-4-6,31: 29.38 m (old) to 29.83 m (corrected value)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	3542 data points
*/
Depth sed [m]	Age [ka BP]	Sample label	G. ruber w [%]	G. bulloides [%]	N. pachyderma s [%]	G. inflata [%]	SST sum [°C]	SST win [°C]
23.08	613.7	94-607-4-1,106	12.10	12.10	1.20	9.0	22.90	16.10
23.13	614.3	94-607-4-1,111	12.40	13.60	2.90	9.1	22.50	15.60
23.23	615.5	94-607-4-1,121	8.90	11.00	4.20	10.1	21.40	14.60
23.38	616.3	94-607-4-1,136	9.90	13.20	3.60	11.2	21.50	14.80
23.53	617.2	94-607-4-2,1	12.50	12.50	5.90	12.5	22.00	15.10
23.68	618.0	94-607-4-2,16	9.80	17.50	5.80	12.7	20.50	13.80
23.75	618.4	94-607-4-2,23	11.60	13.50	7.60	15.3	21.30	14.50
23.83	618.8	94-607-4-2,31	8.30	14.20	10.50	12.5	19.30	12.60
23.94	619.5	94-607-4-2,42	11.40	13.90	5.70	13.0	21.60	14.70
24.05	620.1	94-607-4-2,53	9.70	13.00	8.80	12.7	20.40	13.60
24.13	620.7	94-607-4-2,61	7.90	15.10	9.20	11.0	19.30	12.60
24.30	621.9	94-607-4-2,78	5.30	14.40	10.10	13.6	18.30	11.60
24.43	622.9	94-607-4-2,91	4.80	11.90	18.20	10.8	16.90	10.50
24.58	624.2	94-607-4-2,106	2.30	14.10	11.50	16.9	16.90	10.20
24.73	625.4	94-607-4-2,121	1.80	17.10	20.00	24.7	14.80	7.90
24.88	626.7	94-607-4-2,136	3.70	15.90	3.40	30.2	19.90	13.30
25.03	629.3	94-607-4-3,1	0.70	15.20	2.80	31.1	18.40	12.10
25.18	632.0	94-607-4-3,16	3.30	18.50	2.70	35.8	19.80	14.10
25.33	634.6	94-607-4-3,31	1.90	14.70	4.50	30.9	19.10	12.30
25.55	644.5	94-607-4-3,53	1.10	21.00	5.50	16.9	15.10	9.70
25.63	647.6	94-607-4-3,61	2.10	13.90	7.80	20.2	17.70	10.90
25.80	651.7	94-607-4-3,78	1.00	16.70	6.20	27.9	17.10	10.70
25.93	654.3	94-607-4-3,91	1.30	12.90	4.80	40.2	20.80	13.40
26.08	657.3	94-607-4-3,106	2.40	20.00	4.80	29.0	17.30	11.50
26.23	660.3	94-607-4-3,121	4.70	20.50	2.50	25.2	18.60	12.90
26.38	663.3	94-607-4-3,136	2.70	14.20	7.50	20.7	18.00	11.20
26.53	666.3	94-607-4-4,1	4.30	6.40	9.80	21.3	20.60	12.50
26.68	669.1	94-607-4-4,16	1.50	7.50	12.30	16.4	18.50	10.80
26.83	671.9	94-607-4-4,31	1.80	7.50	12.60	12.9	18.30	10.90
27.05	675.0	94-607-4-4,53	2.20	18.20	16.00	21.2	15.00	8.50
27.13	675.8	94-607-4-4,61	2.20	9.30	28.50	16.1	14.40	8.20
27.30	677.4	94-607-4-4,78	3.60	13.00	15.10	17.2	17.00	10.20
27.43	678.8	94-607-4-4,91	4.80	16.10	10.60	11.9	17.50	11.00
27.58	680.5	94-607-4-4,106	3.30	8.10	19.50	7.2	17.10	10.30
27.73	682.4	94-607-4-4,121	4.90	17.90	8.50	13.5	17.60	11.20
27.88	648.8	94-607-4-4,136	11.70	17.50	0.40	23.0	23.60	16.80
28.03	686.4	94-607-4-5,1	17.50	11.70	4.40	13.9	23.60	16.90
28.18	688.4	94-607-4-5,16	14.90	11.70	0.00	19.2	24.80	18.00
28.33	690.0	94-607-4-5,31	11.10	16.90	2.00	16.9	22.20	15.50
28.44	691.1	94-607-4-5,42	20.40	11.80	1.10	10.5	25.20	18.20
28.55	692.1	94-607-4-5,53	17.20	12.80	0.90	10.3	24.50	17.50
28.63	692.8	94-607-4-5,61	15.10	11.10	2.70	17.1	24.00	17.10
28.80	694.6	94-607-4-5,78	5.30	14.70	37.90	12.6	12.50	8.00
28.93	696.3	94-607-4-5,91	0.00	4.70	72.40	11.5	6.70	0.40
29.08	698.2	94-607-4-5,106	2.30	7.40	26.10	27.6	16.50	8.00
29.23	700.2	94-607-4-5,121	0.90	8.90	27.00	21.7	14.80	7.50
29.38	702.1	94-607-4-5,136	2.20	9.50	12.00	29.5	19.50	10.90
29.53	703.9	94-607-4-6,1	1.40	9.80	10.30	24.6	18.70	10.80
29.68	705.8	94-607-4-6,16	2.40	15.60	4.60	18.7	17.80	11.60
29.83	707.8	94-607-4-6,31	4.30	18.10	5.70	8.2	17.70	11.60
30.05	710.8	94-607-4-6,53	8.30	13.30	4.10	12.7	20.90	14.10
30.13	711.8	94-607-4-6,61	4.10	13.50	3.80	16.2	19.30	12.80
30.30	713.7	94-607-4-6,78	4.20	15.20	14.20	17.7	16.90	10.30
30.43	715.3	94-607-4-6,91	2.60	9.60	10.70	20.2	18.80	11.20
30.58	717.0	94-607-4-6,106	2.50	14.40	19.50	14.4	15.20	8.90
30.73	718.3	94-607-4-6,121	0.30	6.80	10.50	18.3	18.70	10.80
30.88	719.5	94-607-4-6,136	0.60	13.50	7.40	26.4	17.70	10.60
31.03	720.9	94-607-4-7,1	1.50	7.90	6.20	16.4	19.40	12.10
31.18	722.6	94-607-4-7,16	3.10	9.30	11.10	34.9	21.10	12.00
31.26	723.6	94-607-4-7,24	3.40	16.70	8.20	23.4	17.80	11.10
31.42	725.4	94-607A-5-4,121	3.40	15.00	6.10	16.0	18.10	11.60
31.56	727.0	94-607A-5-4,135	9.40	14.30	4.30	23.7	22.20	15.10
31.72	728.9	94-607A-5-5,1	3.30	12.30	2.70	26.2	20.40	13.40
31.86	733.0	94-607A-5-5,15	12.40	9.70	2.70	22.1	24.00	16.80
32.01	737.4	94-607A-5-5,30	7.80	15.30	25.10	9.7	15.70	10.50
32.16	742.9	94-607A-5-5,45	1.30	11.90	54.30	8.8	9.10	4.10
32.32	748.8	94-607A-5-5,61	1.60	7.20	15.30	31.6	19.70	10.20
32.46	751.2	94-607A-5-5,75	2.20	10.60	11.70	16.0	17.80	10.70
32.62	753.8	94-607-5-1,16	1.50	13.60	12.10	22.4	16.90	9.80
32.68	754.5	94-607-5-1,22	2.40	24.40	11.70	16.2	14.10	8.20
32.77	755.6	94-607-5-1,31	2.50	13.20	5.10	12.4	18.30	11.90
32.99	758.1	94-607-5-1,53	5.70	10.90	12.00	20.3	19.20	12.00
33.07	759.0	94-607-5-1,61	3.40	16.70	17.30	16.1	15.50	9.20
33.24	760.9	94-607-5-1,78	3.30	12.00	4.30	27.7	20.30	13.10
33.39	762.7	94-607-5-1,93	3.80	9.50	21.00	12.1	16.50	10.00
33.52	764.9	94-607-5-1,106	5.90	10.20	13.80	11.5	18.60	11.70
33.65	767.9	94-607-5-1,119	7.10	14.90	7.50	18.8	19.80	12.90
33.82	771.9	94-607-5-1,136	5.80	16.00	6.10	14.1	18.90	12.40
33.97	775.5	94-607-5-2,1	7.00	13.30	11.10	9.2	18.90	12.20
34.12	778.9	94-607-5-2,16	4.40	14.50	11.60	11.3	17.50	10.90
34.27	782.0	94-607-5-2,31	11.20	8.40	3.70	15.9	23.00	15.90
34.33	783.1	94-607-5-2,37	13.00	10.90	8.30	14.2	21.60	14.90
34.42	784.8	94-607-5-2,46	8.50	8.80	24.40	7.9	16.50	11.30
34.49	786.2	94-607-5-2,53	4.00	12.60	35.60	9.8	12.70	8.20
