Age (Ma)	Global mean SST (oC) hi-res area weighted	SST +1stdev	SST -1stdev	Global mean SST (oC) lo-res weighted	lo-res SST +1stdev	lo-res SST -1stdev	Global mean surface temp (GMST) (oC) area weighted	GMST +1stdev	GMST -1stdev
4.154	2.98	4.05	1.91	2.95	3.47	2.44	4.25	5.89	2.61
4.155	2.98	4.06	1.90	2.95	3.47	2.43	4.24	5.90	2.59
4.156	2.85	4.00	1.71	2.95	3.47	2.44	4.07	5.82	2.32
4.157	2.88	4.02	1.74	2.96	3.48	2.44	4.10	5.84	2.36
4.158	2.84	3.92	1.77	2.97	3.48	2.45	4.09	5.74	2.44
4.159	2.92	4.05	1.79	2.97	3.48	2.45	4.15	5.88	2.42
4.16	2.93	3.86	2.01	2.98	3.50	2.47	4.17	5.60	2.74
4.161	2.74	3.75	1.74	2.99	3.51	2.48	3.92	5.47	2.37
4.162	2.77	3.78	1.77	3.00	3.52	2.49	3.96	5.51	2.41
4.163	2.76	3.77	1.76	2.99	3.51	2.48	3.94	5.49	2.40
4.164	2.75	3.76	1.75	2.99	3.50	2.47	3.93	5.48	2.39
4.165	2.74	3.74	1.74	2.98	3.49	2.47	3.92	5.46	2.37
4.166	2.97	4.09	1.86	2.98	3.49	2.46	4.21	5.92	2.51
4.167	2.97	4.04	1.91	2.98	3.49	2.46	4.21	5.84	2.58
4.168	3.06	4.10	2.02	2.98	3.50	2.46	4.31	5.91	2.71
4.169	3.14	4.18	2.10	2.98	3.50	2.46	4.40	6.01	2.80
4.17	3.21	4.18	2.25	2.99	3.51	2.47	4.49	5.98	3.00
4.171	3.25	4.23	2.28	3.00	3.52	2.48	4.53	6.03	3.02
4.172	3.36	4.32	2.40	3.00	3.53	2.48	4.66	6.14	3.17
4.173	3.24	4.27	2.21	3.00	3.52	2.48	4.50	6.08	2.92
4.174	3.25	4.27	2.22	3.00	3.52	2.47	4.49	6.07	2.91
4.175	3.09	4.11	2.06	3.01	3.54	2.49	4.28	5.86	2.71
4.176	3.18	4.22	2.14	3.02	3.54	2.49	4.39	5.98	2.79
4.177	3.08	4.16	2.00	3.02	3.54	2.49	4.25	5.91	2.59
4.178	2.82	3.80	1.84	3.02	3.54	2.50	3.91	5.42	2.40
4.179	2.97	4.02	1.93	3.03	3.55	2.50	4.19	5.79	2.59
4.18	3.16	4.24	2.08	3.04	3.56	2.52	4.33	5.98	2.67
4.181	3.20	4.27	2.13	3.05	3.57	2.54	4.37	6.01	2.73
4.182	3.23	4.30	2.17	3.06	3.58	2.55	4.41	6.05	2.78
4.183	3.28	4.35	2.22	3.08	3.59	2.57	4.47	6.10	2.84
4.184	3.33	4.39	2.27	3.10	3.61	2.59	4.53	6.16	2.90
4.185	3.32	4.36	2.27	3.10	3.60	2.59	4.53	6.14	2.93
4.186	3.29	4.30	2.27	3.09	3.59	2.58	4.52	6.09	2.95
4.187	3.23	4.24	2.23	3.08	3.58	2.58	4.48	6.03	2.93
