Age (Ma)	NH extratropics SST (oC)	NH extratropics SST +1 stdev	NH extratropics SST -1 stdev
0.589	-1.57	-0.87	-2.28
0.59	-1.26	-0.52	-2.00
0.591	-1.39	-0.54	-2.24
0.592	-1.15	-0.34	-1.96
0.593	-1.19	-0.41	-1.97
0.594	-1.10	-0.33	-1.86
0.595	-1.15	-0.42	-1.88
0.596	-1.27	-0.57	-1.98
0.597	-1.11	-0.45	-1.78
0.598	-1.04	-0.37	-1.71
0.599	-0.99	-0.35	-1.64
0.6	-1.43	-0.61	-2.25
0.601	-0.77	-0.11	-1.43
0.602	-1.01	-0.37	-1.65
0.603	-0.78	-0.07	-1.48
0.604	-0.60	0.19	-1.38
0.605	-0.69	0.17	-1.55
0.606	-0.70	0.14	-1.54
0.607	-0.73	0.08	-1.54
0.608	-0.57	0.25	-1.40
0.609	-0.33	0.53	-1.19
0.61	-0.09	0.81	-0.99
0.611	-0.18	0.70	-1.05
0.612	-0.46	0.34	-1.26
0.613	-0.68	0.10	-1.46
0.614	-0.81	-0.01	-1.61
0.615	-1.02	-0.26	-1.77
0.616	-1.78	-0.48	-3.08
0.617	-1.65	-0.81	-2.49
0.618	-1.15	-0.46	-1.83
0.619	-1.49	-0.88	-2.10
0.62	-1.65	-1.03	-2.27
0.621	-1.90	-1.25	-2.55
0.622	-2.21	-1.49	-2.93
0.623	-1.91	-1.23	-2.59
0.624	-2.30	-1.61	-2.99
0.625	-2.61	-1.79	-3.42
0.626	-2.63	-1.71	-3.56
0.627	-2.26	-1.39	-3.13
0.628	-2.14	-1.05	-3.24
0.629	-1.87	-0.90	-2.85
0.63	-1.80	-0.97	-2.63
0.631	-1.62	-0.86	-2.38
0.632	-1.33	-0.58	-2.08
0.633	-1.21	-0.50	-1.93
0.634	-1.32	-0.60	-2.04
0.635	-1.41	-0.67	-2.15
0.636	-1.55	-0.77	-2.33
0.637	-1.75	-0.89	-2.61
0.638	-1.57	-0.77	-2.37
0.639	-1.52	-0.76	-2.29
0.64	-1.54	-0.76	-2.31
0.641	-1.71	-0.92	-2.51
0.642	-1.49	-0.64	-2.33
0.643	-1.13	-0.25	-2.02
0.644	-1.03	0.01	-2.06
0.645	-1.00	0.10	-2.09
0.646	-1.58	-0.67	-2.49
0.647	-1.74	-0.88	-2.60
0.648	-1.83	-1.11	-2.56
0.649	-1.96	-1.33	-2.58
0.65	-2.27	-1.60	-2.95
0.651	-2.21	-1.64	-2.78
0.652	-2.45	-1.80	-3.09
0.653	-2.16	-1.54	-2.78
0.654	-2.05	-1.37	-2.73
0.655	-2.15	-1.28	-3.02
0.656	-2.12	-1.23	-3.01
0.657	-2.10	-1.36	-2.83
0.658	-2.27	-1.60	-2.94
0.659	-2.38	-1.77	-2.99
0.66	-2.55	-1.97	-3.14
0.661	-2.70	-2.11	-3.28
0.662	-2.88	-2.25	-3.52
0.663	-2.87	-2.24	-3.50
0.664	-2.87	-2.23	-3.51
0.665	-2.90	-2.22	-3.58
0.666	-2.84	-2.12	-3.57
0.667	-3.01	-2.20	-3.81
0.668	-3.03	-2.28	-3.77
0.669	-3.31	-2.56	-4.07
0.67	-3.27	-2.50	-4.03
0.671	-3.53	-2.72	-4.34
0.672	-3.65	-2.92	-4.38
0.673	-3.85	-3.17	-4.54
0.674	-3.53	-2.86	-4.21
0.675	-3.08	-2.37	-3.79
0.676	-3.66	-2.94	-4.37
0.677	-3.54	-2.83	-4.24
0.678	-3.36	-2.71	-4.02
0.679	-3.13	-2.53	-3.74
0.68	-3.12	-2.48	-3.77
0.681	-3.02	-2.38	-3.65
0.682	-2.92	-2.27	-3.57
0.683	-2.26	-1.50	-3.03
0.684	-2.83	-2.14	-3.53
0.685	-2.94	-2.29	-3.59
0.686	-2.93	-2.20	-3.66
0.687	-2.55	-1.67	-3.43
0.688	-2.14	-1.10	-3.18
0.689	-1.75	-0.53	-2.96
0.69	-1.64	-0.38	-2.90
0.691	-1.57	-0.29	-2.86
0.692	-1.37	-0.13	-2.60
0.693	-1.07	0.17	-2.31
0.694	-0.86	0.39	-2.11
0.695	-0.84	0.42	-2.11
0.696	-0.79	0.32	-1.90
0.697	-0.84	0.07	-1.74
0.698	-0.23	0.56	-1.02
0.699	0.10	0.82	-0.61
0.7	0.39	1.18	-0.41
0.701	0.45	1.37	-0.48
0.702	0.54	1.43	-0.35
0.703	0.38	1.25	-0.49
0.704	0.23	1.11	-0.66
0.705	0.35	1.20	-0.50
0.706	-0.02	0.69	-0.74
0.707	-0.28	0.47	-1.03
0.708	-0.87	0.12	-1.85
0.709	-1.43	-0.13	-2.72
0.71	-2.44	-0.86	-4.02
0.711	-3.36	-1.63	-5.09
0.712	-4.12	-2.25	-6.00
0.713	-4.00	-2.50	-5.49
0.714	-3.83	-2.61	-5.05
0.715	-3.71	-2.72	-4.71
0.716	-3.13	-2.34	-3.93
0.717	-2.94	-2.16	-3.73
0.718	-2.86	-2.10	-3.62
0.719	-2.76	-1.99	-3.53
0.72	-2.61	-1.96	-3.25
0.721	-2.37	-1.80	-2.94
0.722	-2.25	-1.70	-2.79
0.723	-2.16	-1.56	-2.75
0.724	-2.29	-1.71	-2.86
0.725	-2.12	-1.48	-2.75
0.726	-2.36	-1.73	-2.98
0.727	-2.33	-1.65	-3.02
0.728	-2.41	-1.69	-3.13
0.729	-2.37	-1.57	-3.16
0.73	-2.37	-1.55	-3.20
0.731	-1.85	-0.95	-2.76
0.732	-2.15	-1.35	-2.94
0.733	-2.02	-1.24	-2.80
0.734	-1.77	-0.98	-2.56
0.735	-1.44	-0.60	-2.28
0.736	-1.33	-0.44	-2.23
