Age	d18Osw	sigma
0.565	0.24	0.28
0.566	0.17	0.29
0.567	0.33	0.28
0.568	0.36	0.28
0.569	0.57	0.32
0.57	0.28	0.29
0.571	0.24	0.30
0.572	0.03	0.30
0.573	0.11	0.31
0.574	0.07	0.30
0.575	-0.06	0.27
0.576	0.03	0.28
0.577	-0.08	0.27
0.578	-0.04	0.28
0.579	-0.12	0.29
0.58	0.20	0.51
0.581	0.20	0.32
0.582	0.37	0.41
0.583	0.67	0.38
0.584	0.58	0.40
0.585	0.85	0.29
0.586	0.63	0.33
0.587	0.43	0.36
0.588	0.51	0.29
0.589	0.55	0.32
0.59	0.67	0.34
0.591	0.35	0.33
0.592	0.51	0.33
0.593	0.46	0.31
0.594	0.41	0.31
0.595	0.39	0.29
0.596	0.42	0.30
0.597	0.40	0.33
0.598	0.32	0.37
0.599	0.60	0.32
0.6	0.54	0.30
0.601	0.52	0.30
0.602	0.45	0.30
0.603	0.41	0.37
0.604	0.37	0.46
0.605	0.39	0.36
0.606	0.42	0.29
0.607	0.39	0.30
0.608	0.33	0.31
0.609	0.20	0.30
0.61	0.08	0.29
0.611	0.01	0.29
0.612	-0.06	0.30
0.613	0.02	0.30
0.614	0.09	0.31
0.615	0.06	0.31
0.616	0.01	0.31
0.617	0.17	0.35
0.618	0.37	0.41
0.619	0.39	0.35
0.62	0.42	0.30
0.621	0.44	0.32
0.622	0.45	0.34
0.623	0.55	0.43
0.624	0.63	0.54
0.625	0.82	0.45
0.626	1.02	0.37
0.627	1.07	0.38
0.628	1.10	0.38
0.629	1.14	0.34
0.63	1.19	0.31
0.631	1.07	0.34
0.632	0.97	0.38
0.633	0.95	0.38
0.634	0.92	0.38
0.635	0.99	0.32
0.636	1.06	0.28
0.637	0.98	0.30
0.638	0.96	0.32
0.639	0.97	0.31
0.64	1.00	0.31
0.641	0.94	0.33
0.642	0.89	0.36
0.643	0.91	0.32
0.644	0.92	0.29
0.645	0.92	0.29
0.646	0.81	0.31
0.647	0.85	0.32
0.648	0.90	0.34
0.649	0.87	0.35
0.65	0.84	0.37
0.651	0.86	0.37
0.652	0.81	0.37
0.653	0.81	0.34
0.654	0.80	0.32
0.655	0.73	0.31
0.656	0.67	0.31
0.657	0.73	0.29
0.658	0.76	0.28
0.659	0.71	0.31
0.66	0.65	0.34
0.661	0.67	0.32
0.662	0.70	0.30
0.663	0.61	0.34
0.664	0.55	0.38
0.665	0.59	0.34
0.666	0.64	0.31
0.667	0.64	0.35
0.668	0.66	0.39
0.669	0.60	0.35
0.67	0.56	0.32
0.671	0.59	0.32
