Age	d18OT	sigma
0.541	3.93	0.14
0.542	3.94	0.14
0.543	3.88	0.14
0.544	3.90	0.14
0.545	3.86	0.13
0.546	3.83	0.13
0.547	3.82	0.13
0.548	3.81	0.12
0.549	3.81	0.12
0.550	3.80	0.12
0.551	3.80	0.12
0.552	3.79	0.12
0.553	3.76	0.11
0.554	3.72	0.11
0.555	3.74	0.11
0.556	3.74	0.11
0.557	3.75	0.11
0.558	3.70	0.11
0.559	3.71	0.11
0.560	3.67	0.11
0.561	3.67	0.11
0.562	3.65	0.11
0.563	3.63	0.11
0.564	3.60	0.11
0.565	3.56	0.11
0.566	3.54	0.11
0.567	3.51	0.11
0.568	3.50	0.11
0.569	3.52	0.10
0.570	3.52	0.10
0.571	3.53	0.10
0.572	3.52	0.10
0.573	3.47	0.10
0.574	3.45	0.10
0.575	3.43	0.10
0.576	3.42	0.10
0.577	3.43	0.10
0.578	3.45	0.10
0.579	3.46	0.10
0.580	3.49	0.11
0.581	3.53	0.12
0.582	3.53	0.12
0.583	3.53	0.12
0.584	3.49	0.11
0.585	3.49	0.12
0.586	3.49	0.12
0.587	3.51	0.12
0.588	3.51	0.13
0.589	3.50	0.13
0.590	3.47	0.13
0.591	3.48	0.13
0.592	3.53	0.15
0.593	3.51	0.13
0.594	3.48	0.12
0.595	3.44	0.11
0.596	3.41	0.11
0.597	3.41	0.10
0.598	3.42	0.11
0.599	3.42	0.11
0.600	3.42	0.11
0.601	3.37	0.11
0.602	3.37	0.11
0.603	3.35	0.11
0.604	3.34	0.11
0.605	3.33	0.11
0.606	3.32	0.11
0.607	3.32	0.11
0.608	3.35	0.11
0.609	3.37	0.11
0.610	3.37	0.11
0.611	3.39	0.11
0.612	3.40	0.11
0.613	3.40	0.11
0.614	3.42	0.12
0.615	3.45	0.12
0.616	3.49	0.14
0.617	3.51	0.13
0.618	3.50	0.12
0.619	3.52	0.12
0.620	3.54	0.13
0.621	3.56	0.13
0.622	3.60	0.13
0.623	3.63	0.13
0.624	3.68	0.13
0.625	3.72	0.14
0.626	3.74	0.15
0.627	3.76	0.15
0.628	3.78	0.15
0.629	3.80	0.15
0.630	3.81	0.14
0.631	3.81	0.13
0.632	3.81	0.13
0.633	3.80	0.13
0.634	3.80	0.13
0.635	3.80	0.13
0.636	3.79	0.13
0.637	3.81	0.13
0.638	3.77	0.13
0.639	3.77	0.13
0.640	3.76	0.14
0.641	3.75	0.14
0.642	3.75	0.15
0.643	3.72	0.15
0.644	3.72	0.16
0.645	3.66	0.15
0.646	3.70	0.14
0.647	3.70	0.13
0.648	3.70	0.13
0.649	3.71	0.13
0.650	3.72	0.13
0.651	3.71	0.12
0.652	3.77	0.12
0.653	3.74	0.12
0.654	3.72	0.12
0.655	3.72	0.12
0.656	3.69	0.12
0.657	3.69	0.12
0.658	3.71	0.12
0.659	3.72	0.12
0.660	3.72	0.12
