Age	d18OT	sigma
2.325	3.05	0.05
2.326	3.08	0.06
2.327	3.09	0.06
2.328	3.10	0.06
2.329	3.10	0.07
2.330	3.10	0.06
2.331	3.08	0.06
2.332	3.08	0.06
2.333	3.05	0.06
2.334	3.07	0.05
2.335	3.05	0.06
2.336	3.04	0.05
2.337	3.04	0.05
2.338	3.03	0.05
2.339	3.03	0.05
2.340	3.03	0.05
2.341	3.00	0.05
2.342	3.02	0.05
2.343	3.01	0.05
2.344	3.04	0.06
2.345	3.02	0.05
2.346	3.01	0.05
2.347	3.01	0.05
2.348	3.02	0.05
2.349	3.01	0.05
2.350	3.02	0.05
2.351	3.03	0.05
2.352	3.05	0.05
2.353	3.05	0.05
2.354	3.07	0.05
2.355	3.08	0.05
2.356	3.10	0.05
2.357	3.10	0.04
2.358	3.13	0.05
2.359	3.12	0.04
2.360	3.13	0.04
2.361	3.13	0.04
2.362	3.12	0.04
2.363	3.12	0.04
2.364	3.13	0.04
2.365	3.11	0.05
2.366	3.11	0.05
2.367	3.10	0.05
2.368	3.10	0.05
2.369	3.10	0.05
2.370	3.09	0.05
2.371	3.10	0.06
2.372	3.11	0.06
2.373	3.10	0.06
2.374	3.09	0.06
2.375	3.09	0.06
2.376	3.08	0.06
2.377	3.06	0.05
2.378	3.05	0.05
2.379	3.04	0.05
2.380	3.03	0.05
2.381	3.03	0.05
2.382	3.03	0.05
2.383	3.04	0.05
2.384	3.04	0.06
2.385	3.04	0.06
2.386	3.05	0.06
2.387	3.04	0.06
2.388	3.03	0.06
2.389	3.03	0.06
2.390	3.02	0.05
2.391	3.01	0.06
2.392	3.01	0.06
2.393	3.01	0.06
2.394	3.00	0.06
2.395	3.00	0.06
2.396	3.01	0.06
2.397	3.01	0.05
2.398	3.02	0.06
2.399	3.03	0.06
2.400	3.03	0.06
2.401	3.03	0.06
2.402	3.03	0.06
2.403	3.03	0.06
2.404	3.03	0.06
2.405	3.05	0.07
2.406	3.05	0.07
2.407	3.03	0.07
2.408	3.02	0.07
2.409	3.01	0.08
2.410	3.00	0.08
2.411	2.99	0.09
2.412	2.99	0.09
2.413	2.98	0.08
2.414	2.98	0.08
2.415	2.99	0.08
2.416	2.96	0.08
2.417	2.99	0.08
2.418	2.99	0.08
2.419	2.98	0.08
2.420	2.97	0.08
2.421	2.97	0.08
2.422	2.97	0.08
2.423	2.97	0.08
2.424	2.97	0.09
2.425	2.97	0.09
2.426	3.00	0.08
2.427	3.02	0.08
2.428	3.03	0.08
2.429	3.06	0.07
2.430	3.07	0.07
2.431	3.08	0.08
2.432	3.10	0.08
2.433	3.12	0.09
2.434	3.10	0.08
2.435	3.11	0.09
2.436	3.12	0.09
2.437	3.12	0.09
2.438	3.12	0.09
2.439	3.11	0.09
2.440	3.10	0.08
2.441	3.11	0.08
2.442	3.11	0.07
2.443	3.11	0.07
2.444	3.11	0.07
2.445	3.11	0.07
2.446	3.10	0.06
2.447	3.10	0.06
2.448	3.09	0.06
2.449	3.11	0.06
2.450	3.10	0.06
2.451	3.10	0.05
2.452	3.09	0.06
2.453	3.08	0.06
2.454	3.07	0.05
2.455	3.06	0.05
2.456	3.06	0.05
2.457	3.07	0.05
2.458	3.05	0.05
2.459	3.05	0.05
2.460	3.04	0.06
2.461	3.03	0.06
2.462	3.05	0.06
2.463	3.04	0.05
2.464	3.05	0.05
2.465	3.04	0.05
2.466	3.04	0.05
2.467	3.05	0.05
2.468	3.03	0.05
2.469	3.04	0.05
2.470	3.04	0.06
2.471	3.03	0.05
2.472	3.03	0.05
2.473	3.02	0.05
2.474	3.04	0.05
2.475	3.05	0.06
2.476	3.05	0.05
2.477	3.04	0.05
2.478	3.04	0.05
2.479	3.07	0.06
2.480	3.07	0.06
2.481	3.07	0.06
2.482	3.07	0.06
2.483	3.09	0.07
2.484	3.10	0.07
2.485	3.11	0.07
2.486	3.10	0.07
2.487	3.11	0.07
2.488	3.12	0.06
2.489	3.12	0.06
2.490	3.12	0.06
2.491	3.11	0.06
2.492	3.11	0.06
2.493	3.10	0.05
2.494	3.09	0.05
2.495	3.08	0.05
2.496	3.06	0.05
2.497	3.05	0.05
2.498	3.03	0.06
2.499	3.03	0.06
2.500	3.01	0.06
2.501	3.00	0.06
2.502	3.00	0.06
2.503	2.98	0.06
2.504	2.99	0.06
2.505	2.99	0.06
2.506	3.00	0.06
2.507	3.01	0.06
2.508	3.04	0.06
2.509	3.06	0.06
2.510	3.08	0.06
2.511	3.11	0.06
2.512	3.11	0.06
2.513	3.12	0.06
2.514	3.14	0.06
2.515	3.13	0.06
2.516	3.13	0.06
2.517	3.15	0.07
2.518	3.16	0.07
2.519	3.19	0.07
2.520	3.19	0.08
2.521	3.19	0.07
2.522	3.15	0.07
2.523	3.13	0.07
2.524	3.12	0.07
2.525	3.15	0.07
2.526	3.14	0.07
2.527	3.14	0.07
2.528	3.13	0.07
2.529	3.14	0.07
2.530	3.12	0.07
2.531	3.12	0.06
2.532	3.12	0.06
2.533	3.11	0.07
2.534	3.10	0.06
2.535	3.10	0.06
2.536	3.10	0.07
2.537	3.09	0.07
2.538	3.06	0.06
2.539	3.04	0.06
2.540	3.02	0.06
2.541	3.02	0.06
2.542	3.01	0.05
2.543	3.00	0.05
2.544	3.01	0.05
2.545	3.01	0.06
2.546	2.99	0.06
2.547	2.98	0.06
2.548	2.98	0.06
2.549	2.98	0.06
2.550	2.99	0.06
2.551	2.98	0.06
2.552	2.98	0.06
2.553	2.98	0.05
2.554	2.99	0.05
2.555	3.00	0.06
2.556	3.01	0.06
2.557	3.01	0.05
2.558	3.01	0.06
2.559	3.02	0.06
2.560	3.02	0.06
2.561	3.03	0.06
2.562	3.04	0.06
2.563	3.03	0.06
2.564	3.03	0.06
2.565	3.03	0.06
2.566	3.02	0.06
2.567	3.01	0.05
2.568	3.02	0.06
2.569	3.01	0.06
2.570	3.00	0.06
2.571	3.01	0.06
2.572	3.00	0.06
2.573	2.99	0.06
2.574	2.98	0.06
2.575	2.97	0.06
2.576	2.97	0.06
2.577	2.97	0.06
2.578	2.97	0.06
2.579	2.98	0.06
2.580	2.98	0.06
2.581	2.97	0.06
2.582	2.98	0.06
2.583	2.99	0.06
2.584	2.98	0.06
2.585	2.99	0.07
2.586	2.99	0.07
2.587	2.99	0.07
2.588	3.01	0.07
2.589	3.01	0.07
2.590	3.01	0.07
2.591	3.01	0.07
2.592	3.02	0.07
2.593	3.02	0.07
2.594	3.03	0.07
2.595	3.04	0.07
2.596	3.04	0.07
2.597	3.04	0.07
2.598	3.05	0.07
2.599	3.05	0.07
2.600	3.05	0.07
2.601	3.07	0.07
2.602	3.07	0.07
2.603	3.07	0.07
2.604	3.07	0.06
2.605	3.07	0.06
2.606	3.06	0.06
2.607	3.05	0.07
2.608	3.05	0.07
2.609	3.05	0.07
2.610	3.04	0.06
2.611	3.03	0.06
2.612	3.03	0.07
2.613	3.03	0.07
2.614	3.03	0.06
2.615	3.03	0.06
2.616	3.04	0.07
2.617	3.04	0.06
2.618	3.03	0.06
2.619	3.02	0.06
2.620	3.02	0.06
2.621	3.02	0.06
2.622	3.03	0.07
2.623	3.03	0.06
2.624	3.03	0.06
2.625	3.03	0.06
2.626	3.03	0.06
2.627	3.03	0.06
2.628	3.03	0.07
2.629	3.03	0.06
2.630	3.03	0.06
2.631	3.05	0.06
2.632	3.03	0.07
2.633	3.04	0.07
2.634	3.04	0.07
2.635	3.06	0.07
2.636	3.06	0.07
2.637	3.09	0.09
2.638	3.07	0.08
2.639	3.06	0.08
2.640	3.06	0.09
2.641	3.05	0.09
2.642	3.04	0.09
2.643	3.04	0.09
2.644	3.06	0.09
2.645	3.08	0.09
2.646	3.08	0.10
2.647	3.07	0.09
2.648	3.07	0.09
2.649	3.07	0.09
2.650	3.04	0.09
2.651	3.04	0.09
2.652	3.03	0.09
2.653	3.02	0.08
2.654	3.01	0.07
2.655	3.01	0.07
2.656	2.99	0.07
2.657	2.99	0.07
2.658	2.99	0.07
2.659	2.97	0.07
2.660	2.97	0.07
2.661	2.97	0.07
2.662	2.97	0.07
2.663	2.97	0.07
2.664	2.97	0.07
2.665	2.95	0.07
2.666	2.96	0.07
2.667	2.96	0.07
2.668	2.97	0.07
2.669	2.96	0.07
2.670	2.97	0.07
2.671	2.97	0.07
2.672	2.96	0.07
2.673	2.96	0.07
2.674	2.97	0.07
2.675	2.97	0.06
2.676	2.98	0.06
2.677	2.97	0.06
2.678	2.99	0.06
2.679	2.99	0.06
2.680	2.99	0.06
2.681	2.99	0.06
2.682	2.99	0.06
2.683	3.00	0.07
2.684	2.98	0.07
2.685	3.00	0.07
2.686	3.02	0.07
2.687	3.02	0.07
2.688	3.03	0.06
2.689	3.03	0.07
2.690	3.03	0.07
2.691	3.03	0.07
2.692	3.04	0.08
2.693	3.04	0.08
2.694	3.00	0.07
2.695	3.02	0.07
2.696	3.01	0.07
2.697	3.00	0.07
2.698	3.00	0.07
2.699	3.01	0.07
2.700	3.00	0.07
2.701	3.01	0.07
2.702	3.00	0.07
2.703	3.02	0.07
2.704	3.03	0.07
2.705	3.03	0.08
2.706	3.05	0.07
2.707	3.05	0.07
2.708	3.06	0.07
2.709	3.06	0.07
2.710	3.05	0.07
2.711	3.09	0.07
2.712	3.09	0.07
2.713	3.07	0.06
2.714	3.07	0.06
2.715	3.06	0.06
2.716	3.05	0.07
2.717	3.05	0.07
2.718	3.06	0.07
2.719	3.06	0.07
2.720	3.04	0.07
2.721	3.03	0.06
2.722	3.02	0.07
2.723	3.02	0.07
2.724	3.02	0.06
2.725	3.04	0.07
2.726	3.02	0.06
2.727	3.03	0.06
2.728	3.03	0.06
2.729	3.03	0.06
2.730	3.04	0.06
2.731	3.03	0.06
2.732	3.03	0.06
2.733	3.04	0.06
2.734	3.05	0.06
2.735	3.04	0.07
2.736	3.05	0.07
2.737	3.05	0.07
2.738	3.05	0.07
2.739	3.06	0.07
2.740	3.05	0.07
2.741	3.04	0.07
2.742	3.03	0.07
2.743	3.02	0.07
2.744	3.01	0.07
2.745	3.00	0.06
2.746	3.00	0.06
2.747	3.00	0.06
2.748	3.00	0.06
2.749	2.99	0.06
2.750	2.99	0.06
2.751	2.99	0.07
2.752	3.00	0.07
2.753	2.99	0.07
2.754	2.99	0.07
2.755	2.99	0.07
2.756	2.99	0.07
2.757	2.99	0.07
2.758	3.00	0.07
2.759	3.00	0.07
2.760	2.99	0.07
2.761	3.01	0.08
2.762	3.01	0.08
2.763	3.01	0.07
2.764	3.02	0.07
2.765	3.02	0.08
2.766	3.02	0.07
2.767	3.03	0.08
2.768	3.03	0.08
2.769	3.04	0.08
2.770	3.03	0.08
2.771	3.03	0.08
2.772	3.04	0.08
2.773	3.01	0.08
2.774	3.00	0.08
2.775	3.00	0.08
2.776	3.00	0.08
2.777	2.99	0.08
2.778	2.98	0.08
2.779	2.98	0.07
2.780	2.98	0.08
2.781	2.96	0.07
2.782	2.96	0.07
2.783	2.96	0.07
2.784	2.96	0.07
2.785	2.96	0.07
2.786	2.96	0.07
2.787	2.97	0.07
2.788	2.96	0.07
2.789	2.95	0.07
2.790	2.96	0.07
2.791	2.97	0.07
2.792	2.96	0.07
2.793	2.96	0.07
2.794	2.96	0.07
2.795	2.97	0.07
2.796	3.00	0.08
2.797	2.99	0.08
2.798	3.00	0.08
2.799	3.00	0.08
2.800	3.01	0.08
2.801	3.00	0.07
2.802	3.00	0.07
2.803	3.01	0.07
2.804	3.01	0.06
2.805	3.02	0.06
2.806	3.00	0.06
2.807	3.00	0.06
2.808	3.00	0.06
2.809	3.00	0.06
2.810	3.00	0.06
2.811	3.00	0.06
2.812	2.99	0.06
2.813	2.98	0.06
2.814	2.98	0.06
2.815	2.97	0.06
2.816	2.97	0.06
2.817	2.97	0.06
2.818	2.96	0.06
2.819	2.96	0.06
2.820	2.95	0.06
2.821	2.95	0.06
2.822	2.96	0.06
2.823	2.95	0.06
2.824	2.94	0.06
2.825	2.96	0.07
2.826	2.95	0.07
2.827	2.95	0.07
2.828	2.95	0.07
2.829	2.94	0.07
2.830	2.94	0.07
2.831	2.93	0.07
2.832	2.92	0.07
2.833	2.91	0.07
2.834	2.93	0.06
2.835	2.93	0.06
2.836	2.93	0.07
2.837	2.93	0.07
2.838	2.94	0.06
2.839	2.94	0.06
2.840	2.93	0.06
2.841	2.94	0.07
2.842	2.95	0.07
2.843	2.96	0.08
2.844	2.97	0.08
2.845	2.97	0.08
2.846	2.97	0.08
2.847	2.98	0.08
2.848	2.98	0.08
2.849	2.99	0.09
2.850	2.99	0.10
2.851	2.99	0.08
2.852	2.99	0.07
2.853	2.99	0.07
2.854	2.99	0.07
2.855	3.00	0.07
2.856	3.00	0.07
2.857	3.00	0.07
2.858	2.99	0.07
2.859	3.00	0.07
2.860	2.99	0.07
2.861	2.98	0.07
2.862	2.97	0.07
2.863	2.97	0.07
2.864	2.97	0.07
2.865	2.98	0.07
2.866	2.97	0.07
2.867	2.97	0.07
2.868	2.97	0.07
2.869	2.96	0.07
2.870	2.96	0.07
2.871	2.96	0.07
2.872	2.96	0.07
2.873	2.95	0.07
2.874	2.96	0.07
2.875	2.97	0.07
2.876	2.97	0.07
2.877	2.97	0.06
2.878	2.99	0.07
2.879	2.99	0.07
2.880	3.00	0.07
2.881	3.00	0.07
2.882	3.00	0.07
2.883	3.00	0.07
2.884	3.00	0.07
2.885	3.00	0.07
2.886	3.00	0.07
2.887	2.99	0.07
2.888	2.98	0.07
2.889	2.97	0.07
2.890	2.98	0.07
2.891	2.98	0.07
2.892	2.98	0.07
2.893	2.97	0.07
2.894	2.98	0.07
2.895	2.98	0.07
2.896	2.98	0.07
2.897	2.97	0.07
2.898	2.97	0.07
2.899	2.97	0.07
2.900	2.98	0.07
2.901	2.97	0.07
2.902	2.95	0.07
2.903	2.95	0.07
2.904	2.96	0.07
2.905	2.97	0.07
2.906	2.97	0.07
2.907	2.98	0.07
2.908	2.99	0.07
2.909	2.99	0.07
2.910	2.99	0.07
2.911	2.98	0.07
2.912	3.00	0.07
2.913	3.00	0.07
2.914	3.00	0.07
2.915	3.01	0.08
2.916	3.02	0.07
2.917	3.02	0.07
2.918	3.03	0.07
2.919	3.02	0.07
2.920	3.02	0.07
2.921	3.02	0.07
2.922	3.02	0.07
2.923	3.03	0.07
2.924	3.03	0.07
2.925	3.04	0.07
2.926	3.04	0.07
2.927	3.04	0.07
2.928	3.05	0.07
2.929	3.04	0.07
2.930	3.03	0.07
2.931	3.02	0.07
2.932	3.01	0.07
2.933	3.00	0.06
2.934	2.98	0.07
2.935	2.97	0.07
2.936	2.96	0.07
2.937	2.96	0.07
2.938	2.96	0.07
2.939	2.95	0.07
2.940	2.94	0.07
2.941	2.93	0.07
2.942	2.93	0.07
2.943	2.93	0.07
2.944	2.93	0.07
2.945	2.93	0.07
2.946	2.93	0.07
2.947	2.93	0.07
2.948	2.93	0.07
2.949	2.94	0.07
2.950	2.94	0.07
2.951	2.94	0.07
2.952	2.93	0.07
2.953	2.93	0.07
2.954	2.93	0.07
2.955	2.94	0.07
2.956	2.94	0.07
2.957	2.96	0.07
2.958	2.95	0.07
2.959	2.95	0.07
2.960	2.96	0.07
2.961	2.96	0.07
2.962	2.95	0.07
2.963	2.95	0.07
2.964	2.95	0.07
2.965	2.95	0.07
2.966	2.95	0.07
2.967	2.96	0.07
2.968	2.96	0.07
2.969	2.97	0.07
2.970	2.97	0.07
2.971	2.98	0.08
2.972	2.98	0.07
2.973	2.98	0.07
2.974	2.99	0.07
2.975	3.01	0.06
2.976	3.00	0.06
2.977	3.01	0.06
2.978	3.01	0.06
2.979	3.03	0.06
2.980	3.03	0.06
2.981	3.03	0.06
2.982	3.03	0.06
2.983	3.04	0.07
2.984	3.03	0.07
2.985	3.02	0.07
2.986	3.01	0.06
2.987	3.02	0.06
2.988	3.02	0.06
2.989	3.02	0.06
2.990	3.02	0.06
2.991	3.02	0.07
2.992	3.01	0.07
2.993	3.00	0.07
2.994	3.00	0.07
2.995	2.99	0.07
2.996	2.99	0.07
2.997	2.98	0.06
2.998	2.98	0.06
2.999	2.98	0.06
3.000	2.98	0.06
3.001	2.99	0.06
3.002	3.02	0.07
3.003	3.01	0.07
3.004	3.01	0.07
3.005	3.02	0.07
3.006	3.03	0.07
3.007	3.02	0.07
3.008	3.04	0.07
3.009	3.04	0.07
3.010	3.04	0.07
3.011	3.04	0.07
3.012	3.04	0.07
3.013	3.03	0.07
3.014	3.04	0.07
3.015	3.04	0.07
3.016	3.04	0.07
3.017	3.03	0.07
3.018	3.04	0.07
3.019	3.03	0.07
3.020	3.03	0.07
3.021	3.02	0.07
3.022	3.03	0.06
3.023	3.03	0.06
3.024	3.03	0.06
3.025	3.03	0.06
3.026	3.03	0.06
3.027	3.02	0.06
3.028	3.02	0.06
3.029	3.01	0.06
3.030	3.01	0.06
3.031	3.00	0.06
3.032	3.00	0.06
3.033	2.99	0.07
3.034	2.99	0.07
3.035	3.00	0.07
3.036	2.99	0.07
3.037	3.00	0.07
3.038	3.01	0.06
3.039	3.01	0.06
3.040	3.01	0.07
3.041	3.00	0.06
3.042	3.01	0.06
3.043	3.01	0.06
3.044	2.99	0.06
3.045	3.01	0.06
3.046	3.00	0.06
3.047	3.00	0.06
3.048	3.00	0.06
3.049	3.00	0.06
3.050	2.99	0.06
3.051	2.99	0.06
3.052	2.99	0.06
3.053	2.98	0.06
3.054	2.98	0.06
3.055	2.98	0.06
3.056	2.97	0.06
3.057	2.96	0.06
3.058	2.96	0.06
3.059	2.96	0.06
3.060	2.96	0.06
3.061	2.96	0.06
3.062	2.96	0.06
3.063	2.95	0.06
3.064	2.94	0.06
3.065	2.93	0.06
3.066	2.94	0.06
3.067	2.95	0.06
3.068	2.96	0.07
3.069	2.95	0.07
3.070	2.95	0.07
3.071	2.94	0.07
3.072	2.94	0.07
3.073	2.93	0.07
3.074	2.92	0.07
3.075	2.92	0.07
3.076	2.92	0.07
3.077	2.91	0.07
3.078	2.90	0.07
3.079	2.90	0.07
3.080	2.91	0.07
3.081	2.89	0.07
3.082	2.90	0.07
3.083	2.91	0.07
3.084	2.91	0.07
3.085	2.91	0.07
3.086	2.92	0.08
3.087	2.93	0.08
3.088	2.92	0.07
3.089	2.92	0.07
3.090	2.92	0.08
3.091	2.91	0.08
3.092	2.90	0.08
3.093	2.90	0.08
3.094	2.90	0.08
3.095	2.90	0.08
3.096	2.90	0.08
3.097	2.90	0.08
3.098	2.90	0.08
3.099	2.90	0.08
3.100	2.90	0.07
3.101	2.90	0.07
3.102	2.90	0.07
3.103	2.90	0.07
3.104	2.90	0.07
3.105	2.91	0.07
3.106	2.91	0.07
3.107	2.91	0.07
3.108	2.91	0.07
3.109	2.91	0.07
3.110	2.91	0.07
3.111	2.91	0.07
3.112	2.91	0.07
3.113	2.91	0.07
3.114	2.91	0.07
3.115	2.91	0.06
3.116	2.92	0.06
3.117	2.92	0.06
3.118	2.94	0.06
3.119	2.93	0.06
3.120	2.94	0.06
3.121	2.94	0.06
3.122	2.95	0.06
3.123	2.94	0.05
3.124	2.95	0.06
3.125	2.95	0.06
3.126	2.94	0.06
3.127	2.94	0.06
3.128	2.95	0.06
3.129	2.95	0.06
3.130	2.94	0.06
3.131	2.94	0.06
3.132	2.95	0.06
3.133	2.95	0.06
3.134	2.96	0.06
3.135	2.97	0.07
3.136	2.98	0.07
3.137	2.99	0.07
3.138	3.00	0.07
3.139	3.00	0.07
3.140	3.00	0.07
3.141	3.00	0.07
3.142	3.01	0.07
3.143	2.99	0.07
3.144	2.98	0.07
3.145	2.96	0.06
3.146	2.94	0.06
3.147	2.95	0.06
3.148	2.94	0.07
3.149	2.93	0.07
3.150	2.93	0.07
3.151	2.92	0.07
3.152	2.91	0.07
3.153	2.91	0.07
3.154	2.91	0.07
3.155	2.90	0.07
3.156	2.90	0.07
3.157	2.91	0.07
3.158	2.90	0.07
3.159	2.91	0.07
3.160	2.92	0.07
3.161	2.92	0.07
3.162	2.93	0.07
3.163	2.93	0.07
3.164	2.93	0.07
3.165	2.94	0.07
3.166	2.94	0.07
3.167	2.94	0.07
3.168	2.94	0.07
3.169	2.95	0.07
3.170	2.96	0.07
3.171	2.96	0.08
3.172	2.96	0.08
3.173	2.96	0.07
3.174	2.96	0.07
3.175	2.96	0.07
3.176	2.97	0.07
3.177	2.97	0.07
3.178	2.97	0.07
3.179	2.97	0.07
3.180	2.97	0.07
3.181	2.97	0.07
3.182	2.97	0.07
3.183	2.96	0.07
3.184	2.96	0.07
3.185	2.95	0.07
3.186	2.95	0.07
3.187	2.95	0.07
3.188	2.94	0.07
3.189	2.94	0.07
3.190	2.93	0.07
3.191	2.95	0.08
3.192	2.94	0.08
3.193	2.93	0.07
3.194	2.92	0.07
3.195	2.91	0.07
3.196	2.92	0.07
3.197	2.92	0.07
3.198	2.92	0.07
3.199	2.92	0.07
3.200	2.92	0.07
3.201	2.92	0.08
3.202	2.93	0.08
3.203	2.92	0.08
3.204	2.92	0.08
3.205	2.93	0.08
3.206	2.93	0.08
3.207	2.93	0.08
3.208	2.92	0.08
3.209	2.92	0.08
3.210	2.93	0.08
3.211	2.94	0.08
3.212	2.94	0.08
3.213	2.94	0.08
3.214	2.95	0.08
3.215	2.95	0.07
3.216	2.95	0.08
3.217	2.95	0.08
3.218	2.96	0.08
3.219	2.95	0.08
3.220	2.94	0.08
3.221	2.95	0.07
3.222	2.95	0.08
3.223	2.96	0.08
3.224	2.96	0.07
3.225	2.95	0.08
3.226	2.94	0.08
3.227	2.94	0.07
3.228	2.95	0.07
3.229	2.95	0.07
3.230	2.94	0.07
3.231	2.95	0.07
3.232	2.95	0.07
3.233	2.96	0.07
3.234	2.96	0.07
3.235	2.96	0.07
3.236	2.96	0.07
3.237	2.96	0.07
3.238	2.96	0.07
3.239	2.96	0.07
3.240	2.95	0.07
3.241	2.96	0.07
3.242	2.96	0.07
3.243	2.95	0.07
3.244	2.95	0.07
3.245	2.96	0.07
3.246	2.97	0.07
3.247	2.96	0.07
3.248	2.96	0.07
3.249	2.95	0.07
3.250	2.95	0.06
3.251	2.96	0.07
3.252	2.96	0.07
3.253	2.96	0.07
3.254	2.95	0.08
3.255	2.93	0.09
3.256	2.92	0.09
3.257	2.90	0.08
3.258	2.91	0.09
3.259	2.93	0.09
3.260	2.92	0.08
3.261	2.92	0.08
3.262	2.92	0.07
3.263	2.91	0.07
3.264	2.91	0.07
3.265	2.92	0.09
3.266	2.93	0.09
3.267	2.93	0.09
3.268	2.93	0.09
3.269	2.93	0.09
3.270	2.94	0.08
3.271	2.94	0.08
3.272	2.94	0.08
3.273	2.94	0.08
3.274	2.94	0.08
3.275	2.93	0.08
3.276	2.93	0.08
3.277	2.93	0.08
3.278	2.94	0.09
3.279	2.94	0.08
3.280	2.92	0.08
3.281	2.94	0.08
3.282	2.94	0.08
3.283	2.95	0.08
3.284	2.97	0.08
3.285	2.97	0.08
3.286	2.98	0.08
3.287	2.99	0.08
3.288	3.01	0.09
3.289	3.01	0.08
3.290	3.02	0.09
3.291	3.02	0.09
3.292	3.02	0.08
3.293	3.03	0.08
3.294	3.02	0.08
3.295	3.01	0.08
3.296	3.01	0.08
3.297	3.02	0.08
3.298	3.02	0.08
3.299	3.02	0.08
3.300	3.02	0.08
3.301	3.01	0.08
3.302	3.02	0.08
3.303	3.01	0.08
3.304	3.00	0.07
3.305	3.01	0.07
3.306	3.01	0.07
3.307	3.02	0.07
3.308	3.02	0.07
3.309	3.03	0.07
3.310	3.03	0.07
3.311	3.02	0.07
3.312	2.99	0.07
3.313	3.00	0.07
3.314	2.98	0.07
3.315	2.98	0.07
3.316	2.97	0.07
3.317	2.97	0.07
3.318	2.96	0.07
3.319	2.96	0.07
3.320	2.94	0.07
3.321	2.95	0.07
3.322	2.96	0.07
3.323	2.96	0.07
3.324	2.96	0.08
3.325	2.97	0.08
3.326	2.97	0.08
3.327	2.97	0.08
3.328	2.97	0.08
3.329	2.97	0.08
3.330	2.98	0.07
3.331	2.97	0.07
3.332	2.97	0.07
3.333	2.96	0.07
3.334	2.95	0.08
3.335	2.95	0.08
3.336	2.96	0.07
3.337	2.96	0.08
3.338	2.97	0.08
3.339	2.97	0.08
3.340	2.96	0.08
3.341	2.96	0.08
3.342	2.97	0.08
3.343	2.96	0.08
3.344	2.97	0.08
3.345	2.97	0.08
3.346	2.97	0.08
3.347	2.96	0.08
3.348	2.95	0.08
3.349	2.95	0.08
3.350	2.95	0.08
3.351	2.95	0.07
3.352	2.90	0.08
3.353	2.90	0.08
3.354	2.90	0.08
3.355	2.90	0.08
3.356	2.89	0.08
3.357	2.90	0.08
3.358	2.89	0.08
3.359	2.89	0.08
3.360	2.89	0.08
3.361	2.88	0.08
3.362	2.89	0.08
3.363	2.89	0.08
3.364	2.90	0.08
3.365	2.87	0.09
3.366	2.90	0.08
3.367	2.91	0.08
3.368	2.91	0.08
3.369	2.92	0.08
3.370	2.92	0.08
3.371	2.92	0.08
3.372	2.93	0.08
3.373	2.92	0.07
3.374	2.93	0.07
3.375	2.94	0.07
3.376	2.94	0.07
3.377	2.95	0.07
3.378	2.94	0.07
3.379	2.94	0.07
3.380	2.92	0.07
3.381	2.93	0.07
3.382	2.93	0.07
3.383	2.92	0.07
3.384	2.92	0.07
3.385	2.92	0.07
3.386	2.92	0.07
3.387	2.91	0.08
3.388	2.90	0.08
3.389	2.90	0.08
3.390	2.90	0.08
3.391	2.90	0.08
3.392	2.91	0.08
3.393	2.91	0.09
3.394	2.89	0.09
3.395	2.91	0.08
3.396	2.92	0.08
3.397	2.91	0.08
3.398	2.92	0.08
3.399	2.92	0.08
3.400	2.91	0.09
3.401	2.91	0.09
3.402	2.92	0.09
3.403	2.92	0.10
3.404	2.92	0.09
3.405	2.91	0.09
3.406	2.89	0.09
3.407	2.89	0.09
3.408	2.88	0.09
3.409	2.89	0.09
3.410	2.88	0.09
3.411	2.88	0.08
3.412	2.87	0.09
3.413	2.88	0.09
3.414	2.88	0.09
3.415	2.88	0.09
3.416	2.87	0.08
3.417	2.88	0.08
3.418	2.87	0.08
3.419	2.89	0.08
3.420	2.90	0.08
3.421	2.89	0.08
3.422	2.90	0.08
3.423	2.91	0.08
3.424	2.91	0.08
3.425	2.91	0.08
3.426	2.91	0.08
3.427	2.91	0.08
3.428	2.92	0.08
3.429	2.92	0.09
3.430	2.92	0.09
3.431	2.92	0.10
3.432	2.90	0.09
3.433	2.90	0.08
3.434	2.89	0.08
3.435	2.92	0.09
3.436	2.91	0.09
3.437	2.90	0.09
3.438	2.90	0.09
3.439	2.89	0.09
3.440	2.88	0.09
3.441	2.91	0.10
3.442	2.90	0.09
3.443	2.91	0.09
3.444	2.92	0.09
3.445	2.90	0.08
3.446	2.90	0.09
3.447	2.89	0.09
3.448	2.89	0.08
3.449	2.88	0.08
3.450	2.89	0.08
3.451	2.89	0.08
3.452	2.89	0.08
3.453	2.90	0.09
3.454	2.89	0.09
3.455	2.89	0.09
3.456	2.89	0.08
3.457	2.89	0.08
3.458	2.88	0.08
3.459	2.87	0.08
3.460	2.88	0.08
3.461	2.89	0.09
3.462	2.89	0.09
3.463	2.90	0.09
3.464	2.90	0.09
3.465	2.92	0.09
3.466	2.92	0.09
3.467	2.95	0.08
3.468	2.92	0.09
3.469	2.92	0.09
3.470	2.92	0.09
3.471	2.91	0.09
3.472	2.90	0.08
3.473	2.89	0.08
3.474	2.89	0.08
3.475	2.88	0.08
3.476	2.86	0.09
3.477	2.86	0.08
3.478	2.85	0.09
3.479	2.86	0.08
3.480	2.85	0.08
3.481	2.85	0.09
3.482	2.85	0.09
3.483	2.85	0.09
3.484	2.85	0.09
3.485	2.85	0.09
3.486	2.85	0.09
3.487	2.84	0.09
3.488	2.84	0.09
3.489	2.84	0.09
