Age	OcnTemp	sigma
0.908	-2.2033500666	0.29
0.909	-2.171750073	0.29
0.91	-2.1302917455	0.30
0.911	-2.0493000828	0.27
0.912	-2.1662750949	0.26
0.913	-2.322583443	0.28
0.914	-2.3206251175	0.29
0.915	-2.4568001328	0.29
0.916	-2.661750153	0.30
0.917	-2.9254501782	0.32
0.918	-3.0017085265	0.35
0.919	-3.14666688	0.34
0.92	-3.2127752289	0.32
0.921	-3.3474835834	0.31
0.922	-3.4231086009	0.30
0.923	-3.3908002768	0.30
0.924	-3.3389586175	0.30
0.925	-3.2187169518	0.30
0.926	-3.1475502898	0.31
0.927	-3.2034669728	0.31
0.928	-3.1519419789	0.32
0.929	-3.051750313	0.32
0.93	-2.8932753069	0.31
0.931	-2.8324003104	0.30
0.932	-2.6938253047	0.28
0.933	-2.4194502822	0.28
0.934	-2.213500266	0.26
0.935	-2.1631002676	0.24
0.936	-2.1030919343	0.24
0.937	-2.033500266	0.25
0.938	-1.9059752561	0.26
0.939	-1.778666912	0.28
0.94	-1.8544002624	0.28
0.941	-1.785250259	0.27
0.942	-1.6294419089	0.28
0.943	-1.4642668896	0.28
0.944	-1.3956252175	0.30
0.945	-1.2597835342	0.32
0.946	-1.1818251927	0.35
0.947	-1.0368001728	0.36
0.948	-0.987941834900002	0.36
0.949	-0.881666820000002	0.37
0.95	-0.718125127500001	0.38
0.951	-0.688800124800001	0.38
0.952	-0.697758462300001	0.39
0.953	-0.678050127800001	0.39
0.954	-0.715625137500001	0.40
0.955	-0.734066810400002	0.40
0.956	-0.762000152000002	0.40
0.957	-0.913600185600002	0.38
0.958	-1.0364085477	0.36
0.959	-0.988000208000002	0.36
0.96	-1.0156085509	0.36
0.961	-1.1664502542	0.34
0.962	-1.2412252751	0.34
0.963	-1.3821336448	0.33
0.964	-1.551167022	0.34
0.965	-1.5970503718	0.35
0.966	-1.5956420441	0.34
0.967	-1.5848003808	0.33
0.968	-1.7153504186	0.30
0.969	-1.760917103	0.29
0.97	-1.6464587475	0.29
0.971	-1.5792004032	0.30
0.972	-1.4463170414	0.32
0.973	-1.5294837354	0.32
0.974	-1.53750041	0.33
0.975	-1.498667072	0.33
0.976	-1.5066920799	0.33
0.977	-1.4305503978	0.33
0.978	-1.4105920643	0.34
0.979	-1.409333736	0.34
0.98	-1.5013254347	0.34
0.981	-1.5558837898	0.37
0.982	-1.65688382580001	0.37
0.983	-1.86000056000001	0.41
0.984	-1.84904223050001	0.43
0.985	-1.83810056760001	0.44
0.986	-1.84572557710001	0.41
0.987	-1.81626724160001	0.38
0.988	-1.69427554290001	0.36
0.989	-1.62800052800001	0.35
0.99	-1.67274221570001	0.35
0.991	-1.70816723400001	0.37
0.992	-1.59592553630001	0.34
0.993	-1.52996718680001	0.34
0.994	-1.344417129	0.35
0.995	-1.2696004416	0.35
0.996	-1.1489587375	0.35
0.997	-1.1203670652	0.34
0.998	-1.0643003828	0.33
0.999	-1.02666704	0.31
1	-1.0440503838	0.30
1.001	-1.0156503774	0.30
1.002	-0.996442040900004	0.28
1.003	-1.187333784	0.33
1.004	-1.27750049000001	0.31
1.005	-1.27633382800001	0.30
1.006	-1.24784215530001	0.31
1.007	-1.25580049680001	0.31
1.008	-1.32738386380001	0.30
1.009	-1.36250055000001	0.31
1.01	-1.41570057720001	0.32
1.011	-1.38720057120001	0.32
1.012	-1.41310058760001	0.32
1.013	-1.33035055860001	0.33
1.014	-1.32912556350001	0.32
1.015	-1.21950052200001	0.32
1.016	-1.17325050700001	0.32
1.017	-1.0639671308	0.33
1.018	-1.0179421149	0.32
1.019	-0.900000400000004	0.32
1.02	-0.881183728600004	0.33
1.021	-0.772567016400004	0.33
1.022	-0.655175299300003	0.32
1.023	-0.690433651600003	0.35
1.024	-0.671875312500003	0.35
1.025	-0.599650281400003	0.35
1.026	-0.536500254000003	0.34
1.027	-0.464533555200002	0.32
1.028	-0.464100223600002	0.31
1.029	-0.463666892000002	0.31
1.03	-0.534500262000003	0.30
1.031	-0.623000308000003	0.30
1.032	-0.720225359100004	0.30
1.033	-0.826150415400004	0.30
1.034	-0.914125463500005	0.29
1.035	-1.01080051680001	0.29
1.036	-1.16044226490001	0.29
1.037	-1.22130063480001	0.30
1.038	-1.36161738020001	0.30
1.039	-1.42216741800001	0.30
