Time	d18O	d18Ostd	d18O_lo	d18O_up
386.0	4.0345812	0.09144071	4.213805	3.8553574
387.0	4.0347256	0.28277559	4.5889658	3.4804854
388.0	3.9328171	0.1086638	4.1457982	3.7198361
389.0	3.8612757	0.10166747	4.0605439	3.6620074
390.0	3.8609965	0.1212026	4.0985536	3.6234394
391.0	3.89957	0.26970172	4.4281854	3.3709547
392.0	3.8893467	0.26749087	4.4136288	3.3650646
393.0	3.7725317	0.18811443	4.141236	3.4038274
394.0	3.8836787	0.28647092	4.4451617	3.3221957
395.0	3.6715126	0.16771298	4.0002301	3.3427952
396.0	3.6545379	0.19721007	4.0410697	3.2680062
397.0	3.5274976	0.12864962	3.7796508	3.2753443
398.0	3.4923218	0.16322307	3.812239	3.1724046
399.0	3.485453	0.43778713	4.3435158	2.6273903
400.0	3.3491566	0.084963357	3.5156848	3.1826284
401.0	3.329098	0.20365392	3.7282596	2.9299363
402.0	3.1831462	0.098772184	3.3767397	2.9895528
403.0	3.1961185	0.13453675	3.4598105	2.9324265
404.0	3.1713247	0.12224384	3.4109226	2.9317267
405.0	3.1494614	0.10151601	3.3484328	2.95049
406.0	3.1460073	0.10441708	3.3506648	2.9413498
407.0	3.3748118	0.37555813	4.1109057	2.6387179
408.0	3.1947879	0.11628511	3.4227067	2.9668691
409.0	3.1652632	0.17453293	3.5073478	2.8231787
410.0	3.1989124	0.1148942	3.424105	2.9737198
411.0	3.2856065	0.11386398	3.5087799	3.0624331
412.0	3.3133944	0.13921141	3.5862488	3.04054
413.0	3.3180301	0.10049376	3.5149979	3.1210624
414.0	3.4587286	0.25409729	3.9567593	2.9606979
415.0	3.4019024	0.12812835	3.6530339	3.1507708
416.0	3.4427426	0.1361488	3.7095943	3.1758909
417.0	3.5399468	0.12979841	3.7943517	3.2855419
418.0	3.5958549	0.10685141	3.8052837	3.3864262
419.0	3.6727527	0.20760737	4.0796631	3.2658422
420.0	3.723618	0.094962233	3.909744	3.537492
421.0	3.7846776	0.13976814	4.0586232	3.5107321
422.0	3.9086622	0.31564214	4.5273208	3.2900036
423.0	3.8478947	0.12182435	4.0866704	3.609119
424.0	3.8486319	0.26354614	4.3651823	3.3320815
425.0	4.1233016	0.37583121	4.8599308	3.3866724
426.0	4.0668779	0.30173795	4.6582843	3.4754715
427.0	4.1121983	0.39026588	4.8771194	3.3472772
428.0	4.5208616	0.35920706	5.2249075	3.8168158
429.0	4.8244019	0.23226897	5.2796491	4.3691547
430.0	4.6778137	0.38353847	5.4295491	3.9260783
431.0	5.0781118	0.16076733	5.3932157	4.7630078
432.0	4.9681646	0.31831496	5.592062	4.3442673
433.0	5.0911804	0.1890378	5.4616945	4.7206664
434.0	5.093022	0.14579509	5.3787804	4.8072636
435.0	5.0289686	0.20962598	5.4398356	4.6181017
436.0	5.0184366	0.16940559	5.3504716	4.6864017
437.0	4.6715342	0.46691694	5.5866914	3.756377
438.0	4.9205384	0.26731838	5.4444824	4.3965943
439.0	4.97638	0.14820752	5.2668667	4.6858932
440.0	4.6721884	0.43933202	5.5332791	3.8110976
441.0	4.9034818	0.10566702	5.1105892	4.6963745
442.0	4.890982	0.23936041	5.3601284	4.4218356
443.0	4.888945	0.12575478	5.1354244	4.6424656
444.0	4.7468984	0.25257122	5.241938	4.2518588
445.0	4.8328955	0.2440726	5.3112778	4.3545132
446.0	4.809481	0.14249325	5.0887677	4.5301942
