Age [ka BP] (Catunda et al., 2021)	SST [°C] (Naafs et al., 2012, original ...)	Age [ka BP] (Catunda et al., 2021)	SST [°C] (linearly interpolated to matc...)	SubT [°C]	delta T [°C] (SST-Sub-ST, Calculated)
689.10	17.16	956.58	15.51	7.22	8.29
689.54	15.41	958.27	11.80	8.08	3.72
689.98	15.72	959.33	14.09	7.32	6.77
690.41	17.82	964.51	18.18	7.69	10.48
690.85	15.40	966.31	18.14	4.69	13.45
691.29	14.87	967.79	18.54	4.22	14.32
691.72	16.09	970.01	18.28	7.09	11.18
692.16	14.95	970.01	18.28	5.38	12.90
692.60	17.60	971.81	16.83	4.71	12.12
693.03	17.45	973.38	15.09	4.18	10.91
693.47	17.70	974.50	15.84	6.50	9.33
693.90	17.03	975.62	16.58	4.74	11.84
694.34	17.72	978.09	16.98	7.48	9.51
694.78	17.84	978.99	16.60	6.19	10.41
695.21	17.23	980.11	15.48	5.28	10.20
695.65	17.01	981.57	13.13	6.00	7.14
696.09	15.86	983.81	16.09	4.55	11.53
696.52	17.42	984.59	16.27	4.85	11.42
696.96	17.76	985.71	16.62	4.67	11.94
697.40	16.19	986.84	17.03	4.67	12.36
697.83	17.88	988.18	17.09	4.02	13.07
698.27	17.66	989.30	16.95	5.41	11.54
698.71	17.41	990.20	16.74	7.44	9.30
699.14	18.01	990.20	16.74	4.58	12.16
699.58	18.21	991.32	16.63	4.29	12.33
700.01	19.08	992.17	16.71	9.46	7.25
700.45	18.12	992.17	16.71	4.32	12.39
700.89	18.79	993.39	16.66	5.44	11.23
701.32	18.47	994.23	16.94	6.37	10.57
701.76	18.77	996.93	17.66	7.63	10.04
702.20	18.21	998.98	17.92	4.35	13.57
702.63	18.00	1000.09	16.90	6.06	10.84
703.07	17.28	1000.65	16.28	5.35	10.93
703.51	18.12	1001.58	15.24	4.11	11.12
703.94	18.68	1002.70	13.99	3.23	10.76
704.38	19.70	1003.82	15.69	4.41	11.28
704.82	17.60	1004.38	16.84	5.02	11.82
705.25	18.74	1005.31	17.71	3.91	13.80
705.69	17.46	1006.24	17.88	4.69	13.20
706.12	17.93	1007.54	18.13	3.55	14.58
706.56	16.33	1009.96	14.58	5.80	8.78
707.00	17.85	1013.04	16.25	4.68	11.56
707.43	18.87	1013.69	16.87	4.65	12.22
707.87	18.08	1014.72	17.04	5.56	11.47
708.31	17.88	1015.88	16.71	6.00	10.71
708.74	16.98	1018.10	14.76	5.75	9.00
709.18	17.54	1019.71	14.70	5.81	8.89
709.62	17.97	1021.20	16.51	5.92	10.58
710.05	17.87	1022.19	16.95	5.26	11.70
710.49	17.45	1023.92	17.29	5.55	11.74
710.93	16.34	1025.16	17.53	5.94	11.60
711.36	15.74	1025.91	17.68	5.32	12.36
711.80	16.22	1027.02	17.90	6.34	11.55
712.23	16.14	1028.26	18.14	7.11	11.03
712.67	13.87	1028.26	18.14	5.64	12.50
713.11	12.23	1029.50	18.38	5.36	13.02
713.53	12.51	1030.86	18.65	4.86	13.78
713.90	10.76	1032.10	18.40	7.14	11.26
714.26	11.42	1033.70	17.15	6.32	10.83
714.63	10.38	1034.24	16.73	6.06	10.67
714.99	11.76	1035.30	15.90	6.82	9.08
715.36	9.38	1036.36	16.14	5.73	10.41
715.72	10.30	1037.42	16.65	5.42	11.23
716.09	11.93	1038.49	17.16	5.32	11.84
716.45	12.15	1039.34	17.31	5.39	11.92
716.81	12.55	1040.51	17.18	5.61	11.57
717.18	13.10	1041.68	17.05	6.35	10.70
717.54	12.28	1042.74	17.08	5.46	11.62
717.91	12.39	1044.01	17.38	5.24	12.14
718.27	12.25	1044.86	17.58	4.89	12.69
718.64	13.72	1045.71	17.66	5.50	12.16
719.00	13.88	1048.16	16.85	4.34	12.51
719.37	13.67	1049.22	16.45	3.88	12.57
719.73	15.45	1049.96	16.11	2.70	13.41
720.10	15.43	1051.24	15.51	2.67	12.84
720.83	15.52	1052.41	14.97	3.34	11.63
721.19	15.45	1053.36	14.53	2.82	11.70
721.55	15.73	1054.64	13.93	3.31	10.62
721.92	15.54	1055.49	13.54	4.29	9.25
722.28	15.71	1056.55	13.71	4.14	9.57
722.65	15.80	1057.62	14.05	3.55	10.50
723.01	15.20	1058.89	15.19	4.84	10.35
723.38	17.01	1058.89	15.19	3.91	11.27
723.74	15.50	1059.74	15.09	3.95	11.14
724.11	15.52	1060.70	15.79	4.31	11.48
724.47	15.63	1061.87	16.65	5.64	11.01
724.84	15.53	1062.82	17.34	5.77	11.57
725.20	16.78	1063.89	17.93	6.29	11.63
725.56	15.99	1064.98	18.53	6.94	11.60
725.93	16.13	1066.19	19.21	5.54	13.67
726.29	16.15	1067.32	18.63	7.40	11.23
726.66	15.84	1068.45	17.76	6.71	11.05
727.02	16.69	1069.47	18.05	8.16	9.89
727.39	16.27	1070.60	18.26	6.50	11.77
727.75	16.13	1071.84	18.20	6.29	11.91
728.12	16.55	1072.97	18.14	6.93	11.22
728.48	15.96	1074.10	18.08	6.87	11.22
728.85	16.90	1075.34	18.02	5.49	12.53
729.21	16.69	1076.47	17.96	6.38	11.58
729.58	16.38	1077.71	17.90	6.79	11.11
729.94	16.76	1078.61	18.01	7.57	10.45
730.30	16.45	1079.97	18.26	6.52	11.75
730.67	17.42	1082.34	18.70	6.90	11.80
731.03	17.61	1083.35	18.69	7.49	11.21
731.76	16.93	1084.26	18.67	6.42	12.25
732.13	17.45	1085.64	18.63	7.86	10.77
732.49	17.72	1086.56	18.60	7.75	10.85
732.86	16.95	1088.17	18.39	6.03	12.36
733.22	16.86	1089.41	18.17	7.32	10.85
733.59	15.99	1090.28	18.01	6.63	11.39
733.95	16.11	1092.63	16.70	6.64	10.06
734.31	15.48	1095.61	11.90	7.56	4.34
734.68	14.78	1095.61	11.90	5.73	6.17
735.04	17.13	1096.60	10.30	6.27	4.03
735.41	16.60	1097.71	10.53	7.19	3.35
735.77	16.94	1098.95	11.92	6.67	5.25
736.14	17.95	1100.19	13.31	7.37	5.94
736.50	16.81	1101.68	14.98	6.82	8.17
736.87	17.19	1103.91	16.68	6.78	9.90
737.05	16.55	1105.15	17.57	5.05	12.52
737.23	16.67	1106.64	18.63	6.97	11.67
737.41	17.85	1107.75	18.59	7.20	11.39
737.60	17.07	1131.54	11.70	7.83	3.86
737.78	16.99	1132.69	11.56	7.32	4.25
737.96	17.62	1133.64	11.93	7.21	4.71
738.14	16.97	1134.41	12.22	10.04	2.18
738.33	16.91	1135.36	12.58	7.39	5.20
738.51	17.21	1136.32	13.22	7.88	5.34
738.69	15.14	1136.32	13.22	6.08	7.14
738.87	17.26	1137.48	14.21	7.12	7.09
739.05	16.91	1138.45	15.03	5.90	9.13
739.42	16.60	1139.33	15.78	8.76	7.02
739.78	18.12	1140.59	16.11	6.59	9.52
740.15	16.52	1141.97	15.65	7.51	8.14
740.33	17.09	1143.35	15.90	6.77	9.13
740.51	17.67	1144.80	16.59	6.58	10.01
740.88	16.92	1145.74	17.04	7.60	9.44
741.42	15.44	1147.00	17.65	7.34	10.30
741.61	16.57	1148.26	18.25	6.80	11.44
741.79	13.57	1149.64	18.91	8.25	10.66
741.97	15.88	1151.02	19.17	7.23	11.94
742.34	14.35	1152.03	19.25	6.96	12.29
742.70	14.46	1153.29	19.34	7.26	12.09
742.88	14.81	1154.55	19.44	7.47	11.97
743.06	14.35	1155.80	19.45	6.69	12.76
743.25	15.04	1157.31	19.38	8.07	11.31
743.43	12.68	1158.32	19.34	7.32	12.02
743.79	13.88	1159.58	19.28	6.91	12.37
744.16	13.61	1162.22	19.23	7.51	11.72
744.34	13.83	1163.48	19.22	7.47	11.75
744.52	14.42	1164.61	19.21	8.16	11.05
744.71	14.67	1167.12	19.40	7.69	11.71
744.89	14.91	1168.88	19.57	7.39	12.19
745.25	14.37	1170.02	19.69	8.31	11.38
745.62	13.85	1172.15	19.68	8.50	11.17
745.98	12.99	1173.41	19.66	7.75	11.91
746.35	12.44	1174.54	19.65	7.71	11.94
746.71	13.27	1175.67	19.54	6.88	12.66
747.26	13.66	1177.18	19.25	8.26	10.98
747.63	14.04	1178.44	19.00	7.09	11.92
747.99	14.14	1179.70	18.76	8.34	10.41
748.36	14.70	1181.33	18.50	7.00	11.49
748.72	14.83	1182.72	18.30	7.93	10.37
749.09	14.93	1183.47	18.19	7.15	11.04
749.45	15.55	1184.73	18.01	6.95	11.07
749.82	14.91	1185.99	17.80	6.97	10.83
750.18	15.41	1187.49	17.52	5.94	11.58
750.73	15.26	1189.76	17.10	6.90	10.20
751.09	15.96	1190.67	16.90	6.08	10.81
751.46	15.82	1191.79	16.62	5.06	11.56
751.82	14.37	1193.11	16.30	4.81	11.48
752.19	14.83	1194.13	16.05	4.75	11.30
752.55	14.26	1194.13	16.05	5.79	10.25
752.92	15.17	1194.84	16.09	5.34	10.74
753.28	14.38	1195.75	16.19	5.12	11.07
753.65	14.98	1197.18	16.35	5.72	10.62
754.01	14.62	1197.99	16.44	3.23	13.21
754.38	16.09	1199.31	16.44	4.53	11.92
754.56	17.17	1199.92	16.43	5.03	11.39
754.93	14.40	1200.94	16.40	3.97	12.42
755.11	14.93	1201.96	16.37	4.03	12.34
755.47	14.80	1203.38	16.47	7.06	9.41
755.84	14.86				
756.02	14.80				
756.38	15.03				
756.75	15.76				
756.93	14.88				
757.30	15.57				
757.48	14.97				
757.84	16.17				
758.21	16.47				
758.47	15.93				
759.04	16.04				
759.90	16.26				
760.75	16.06				
761.61	15.30				
762.46	16.39				
763.32	18.16				
763.89	16.59				
764.75	17.76				
766.46	16.45				
767.31	16.11				
768.17	15.21				
769.02	15.64				
769.88	14.89				
770.45	14.45				
771.30	13.59				
771.88	15.01				
772.45	15.98				
773.02	16.00				
773.59	16.96				
774.16	16.15				
774.73	16.64				
775.30	15.85				
776.15	16.30				
776.72	16.68				
777.29	16.39				
777.86	15.88				
778.43	14.61				
779.00	16.24				
779.58	16.27				
780.15	15.84				
781.00	16.83				
781.57	16.57				
782.14	17.21				
782.71	15.92				
783.28	16.16				
783.85	16.32				
784.42	16.86				
784.99	16.61				
785.85	16.26				
786.42	17.37				
786.99	16.67				
788.13	16.16				
788.70	16.24				
789.27	16.49				
789.84	15.22				
790.60	16.26				
791.08	13.76				
791.56	13.46				
792.04	14.70				
792.52	13.63				
793.00	12.02				
793.48	13.59				
